program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Bella Sera Event Center,Adams,45 Strong St,0,1,1,55
Belle Creek Charter School,Adams,9290 E 107th Ave,2,1,3,53
Belleview Elementary,Arapahoe,4851 S Dayton St,0,0,0,56
Beltrans Meat Market,Adams,11920 Washington St Unit B,8,4,12,44
Ben Franklin Pool - Snack Bar,Arapahoe,1600 E Panama Dr,4,0,4,52
Benders Brat Haus,Arapahoe,700 S Buckley Rd Unit A,6,1,7,49
Benedicts Restaurant,Arapahoe,8181 E Arapahoe Rd Ste A,3,3,6,50
Bennett Elementary,Adams,462 8th St,0,2,2,54
Bennett High School Concession,Adams,505 8th St,4,4,8,48
Bennett Middle School,Adams,455 8th St,0,0,0,56
Bennett Travel Shoppe,Adams,1210 S 1st St,3,1,4,52
Bent Fork American Grill,Arapahoe,12191 E Iliff Ave,2,5,7,49
Bent Noodle,Arapahoe,3055 S Parker Rd Unit A108,3,3,6,50
Berg Haus The,Douglas,7280 Lagae Rd Unit A-111,1,3,4,52
Berry Blendz,Adams,1281 E 120th Ave,1,1,2,54
Berry Blendz,Douglas,10941 S Parker Rd,0,2,2,54
Berry Blendz,Douglas,8401 Park Meadows Center Dr,3,6,9,47
Best One Convenience Store,Adams,6898 Kearney St,1,0,1,55
Best Philly Steak,Adams,6350 Sheridan Blvd Ste 115B,4,3,7,49
Best Western Brighton Inn,Adams,15151 Brighton Rd,4,2,6,50
Bibi Poke at Centennial,Arapahoe,12023 E Arapahoe Rd Ste 140,4,1,5,51
Bibimbap and Naked Grill 153,Arapahoe,10639 E Briarwood Ave Unit B2,10,8,18,38
Big Apple Mart 2,Douglas,2195 N Highway 83,2,8,10,46
Big Bills New York Pizza,Arapahoe,8243 S Holly St,0,2,2,54
Big Daddy Mexican Restaurant,Adams,7584 Highway 2,2,0,2,54
Big Daddys Pizza,Arapahoe,1155 S Havana Ave Ste 69,1,1,2,54
Big Daddys Pizza,Arapahoe,5829 S Broadway,3,1,4,52
Big Lots,Adams,893 S Kuner Rd,0,1,1,55
Big Lots 1914,Arapahoe,7475 Iliff,1,0,1,55
Big Lots 1920,Arapahoe,139 W Hampden Ave,0,0,0,56
Big Lots 4133,Arapahoe,15351 E Hampden Ave,1,0,1,55
Big Lots 4486,Adams,4830 W 120th Ave,0,0,0,56
Big Mac and Little Lus Seafood,Adams,2851 W 120th Ave Unit 300A,5,4,9,47
Big Mamas Burritos,Adams,3190 W 72nd Ave,3,4,7,49
Big Mamas Burritos 3,Adams,7790 Federal Blvd,2,4,6,50
Big Panda,Adams,15550 E 103rd Pl Ste 101,7,5,12,44
Big Picture College and Career Academy,Adams,7350 N Broadway Ste 200,1,0,1,55
Billies,Adams,1830 E Bridge St,7,9,16,40
Bingo Oasis,Adams,10657 Melody Dr,2,5,7,49
Birds Nest Express,Arapahoe,10605 E Mississippi Ave,6,5,11,45
Birrieria Y Taqueria Los Tecos LLC,Adams,7353 Pecos St,3,1,4,52
Bishop Elementary School,Arapahoe,3100 S Elati St,0,0,0,56
Bison Grill,Adams,15700 E 112th Ave,6,5,11,45
Bistro,Douglas,3775 Grace Blvd Bldg B,1,1,2,54
Bistro King Thai and Sushi,Arapahoe,3542 S Fox St,2,10,12,44
Bitto Bistro,Adams,14697 Delaware St Unit 1000,4,7,11,45
Black Bear Golf Club,Douglas,11400 Canterberry Pkwy,3,5,8,48
Black Cow Deli,Arapahoe,7670 S Chester St,8,10,18,38
Black Cow Deli II,Arapahoe,600 S Cherry St Unit 25,4,6,10,46
Black Eyed Pea,Adams,211 W 104th Ave,2,5,7,49
Black Eyed Pea,Arapahoe,5180 S Broadway,5,5,10,46
Black Eyed Pea,Douglas,850 New Memphis Ct,2,9,11,45
Black Forest Hills Elementary,Arapahoe,25233 E Glasgow Dr,0,1,1,55
Black Rock Coffee Bar,Douglas,4985 Factory Shops Blvd Ste 100,0,0,0,56
Black Sea Grocery,Arapahoe,7920 E Mississippi Ave Ste M,3,2,5,51
Black eyed Pea,Douglas,9205 Crown Crest Blvd,0,0,0,56
Blackjack Pizza,Adams,8410 Federal Blvd,4,6,10,46
Blackjack Pizza,Arapahoe,13696 E Alameda Ave,1,1,2,54
Blackjack Pizza,Arapahoe,16961 E Quincy Ave Unit C6,3,5,8,48
Blackjack Pizza,Arapahoe,7500 S University Blvd Unit 107,4,5,9,47
Blackjack Pizza,Arapahoe,9625 E Arapahoe Rd,4,2,6,50
Blackjack Pizza,Douglas,9821 S Parker Rd,2,3,5,51
Blackjack Pizza 2026,Adams,14296 Lincoln St,2,2,4,52
Blackjack Pizza of Brighton,Adams,1521 E Bridge St # 2,1,8,9,47
Blackstone Country Club,Arapahoe,7777 S Country Club Pkwy,8,10,18,38
Bleu Sage Catering,Adams,1500 E 128th Ave,7,7,14,42
Blimpies,Arapahoe,14101 E Exposition Ave,3,1,4,52
Blu Note Bar and Grill,Douglas,19600 Solar Cir,3,2,5,51
Blue Bay Asian Cafe,Adams,12840 Holly St Unit 180,4,11,15,41
Blue Mountain Kitchen,Adams,16607 N Washington St,2,2,4,52
Blue Note Catering (Fiddlers Green),Arapahoe,6350 Greenwood Plaza Blvd,1,2,3,53
Bluebird Cafe,Adams,885 Thornton Pkwy,8,5,13,43
Boardroom,Arapahoe,51 W Dry Creek Ct,2,2,4,52
Boardwalk Pizzeria Inc,Adams,1420 W 104th Ave,3,7,10,46
Bombay Bazaar,Arapahoe,3140 S Parker Rd Ste 4,0,4,4,52
Bonbons,Adams,1675 W 67th Ave Unit 300,1,0,1,55
Bonefish Grill,Arapahoe,4948 S Yosemite St Unit,1,4,5,51
Bonos BBQ,Arapahoe,9393 E Dry Creek Rd,2,7,9,47
Bookmakers Burgers Bourbon and Brews,Arapahoe,25791 E Smoky Hill Rd Ste 50,3,3,6,50
Boondocks Food and Fun,Douglas,18706 Cottonwood Dr,4,3,7,49
Boondocks Fun Center,Adams,11425 Community Center Dr,5,5,10,46
Born2bake,Arapahoe,2540 W Main St,9,11,20,36
Bosphorus,Arapahoe,3493 S Downing St,7,5,12,44
Boston Elementary,Arapahoe,1365 Boston St,1,3,4,52
Boston Market 1755,Arapahoe,14110 E Iliff Ave,2,7,9,47
Boston Market 207,Arapahoe,8507 E Arapahoe Rd,2,2,4,52
Botanas Locas,Arapahoe,2271 S Peoria St,3,1,4,52
Bout Time Pub and Grub,Arapahoe,3580 S Platte River Dr Ste A,2,5,7,49
Bow Mart,Arapahoe,5198 S Lowell Blvd,2,0,2,54
Bowlero Heather Ridge,Arapahoe,2200 S Peoria St,3,6,9,47
Bowlero Littleton,Douglas,2530 E County Line Rd,3,3,6,50
