program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Snow Fox Sushi KS 84 Sushi,Arapahoe,6412 S Parker Rd,0,0,0,56
Snow Fox Sushi at King Soopers 101,Adams,13700 Colorado Blvd,3,0,3,53
Snowfox KS 108,Douglas,4000 Red Cedar Dr,0,0,0,56
So Gong Dong Tofu Since 1962,Arapahoe,2353 S Havana St Unit D1,8,9,17,39
Soaring Hawk Elementary 37,Douglas,4665 Tanglevine Dr,0,0,0,56
Social Bar and Lounge,Arapahoe,3625 W Bowles Ave Unit 9,0,0,0,56
Sodexo America LLC at CH2M Hill,Douglas,9191 S Jamaica St,3,6,9,47
Sodexo at Liberty Media,Douglas,12300 Liberty Blvd,1,1,2,54
Sodexo at Nordstrom Englewood,Arapahoe,13531 E Caley Ave,0,0,0,56
Solera Salon,Arapahoe,8770 E Arapahoe Rd,2,2,4,52
Solid Grounds Coffee House,Arapahoe,6504 S Broadway,2,3,5,51
Solomons Grocery And European Deli,Arapahoe,1939 S Havana St,4,4,8,48
Sonic Drive In,Arapahoe,11237 E Arapahoe Pl,4,5,9,47
Sonic Drive In,Douglas,16538 Keystone Blvd,0,0,0,56
Sonic Drive In,Douglas,210 Founders Pkwy,2,2,4,52
Sonic Drive In 3558,Adams,9500 Federal Blvd,2,0,2,54
Sonic Drive In 3600,Adams,3605 E 104th Ave,3,2,5,51
Sonic Drive In 3657,Adams,950 E 120th Ave,1,3,4,52
Sonic Drive In 3797,Arapahoe,18535 E Smoky Hill Rd,1,3,4,52
Sonic Drive In 4168,Arapahoe,18501 E Hampden Ave,2,4,6,50
Sonic Drive In 4390,Arapahoe,7739 E Iliff Ave,4,4,8,48
Sonic Drive In 4426,Adams,15120 Brighton Rd,2,5,7,49
Sonic Drive In 4818,Arapahoe,1016 S Abilene St,3,2,5,51
Sonic Drive In 4980,Adams,8711 Washington St,3,2,5,51
Sonic Drive In 5366,Douglas,8367 N Rampart Range Rd,1,3,4,52
Sonic Drive In 5476,Arapahoe,11658 E Colfax Ave,4,4,8,48
Sonic Drive In 5541,Adams,10319 Tower Rd,4,2,6,50
Sonoda Japanese Restaurant,Arapahoe,3108 S Parker Rd Unit D1,5,5,10,46
Souper Deli,Arapahoe,9200 E Panorama Cir Ste H,5,4,9,47
Souper Deli The,Arapahoe,3190 S Vaughn Way Ste 110,1,1,2,54
South Denver Cardiology,Arapahoe,1000 Southpark Dr,3,4,7,49
South Elementary,Adams,305 S Fifth Ave,1,4,5,51
South Garden II,Douglas,4833 Front St Unit A,8,7,15,41
South Garden III,Douglas,12919 Stroh Ranch Ct Unit A,5,10,15,41
South Middle School,Arapahoe,12310 E Parkview Dr,0,1,1,55
South Philly Cheese Steaks,Adams,220 Pavilions Pl Unit A,3,3,6,50
South Philly Cheese Steaks,Adams,3967 E 120th Ave,3,2,5,51
South Philly Cheese Steaks,Arapahoe,1400 E Hampden Ave Unit 1,1,2,3,53
South Restaurant,Arapahoe,3535 S Huron St,6,4,10,46
South Ridge Elementary,Douglas,1100 South St,0,0,0,56
South Suburban Golf Course Restaurant,Arapahoe,7900 S Colorado Blvd,4,3,7,49
South Suburban Ice Arena,Arapahoe,6580 S Vine St,2,2,4,52
Southeast Elementary,Adams,1595 E Southern St,1,3,4,52
Spalding Rehab Hospital,Arapahoe,900 Potomac St,2,3,5,51
Spice 8 Asian Kitchen,Arapahoe,4510 S Reservoir Rd Unit D,6,1,7,49
Spice Kitchen,Douglas,19751 E Mainstreet Unit R1,2,8,10,46
Spicy 9 Thai,Arapahoe,1984 Nome St,6,6,12,44
Spicy Basil Asian Grill,Arapahoe,3299 S Broadway Unit C,4,3,7,49
Spicy Chili and Pho,Arapahoe,1722 S Chambers Rd,6,5,11,45
Spicy Radish The,Adams,800 E 73rd Ave Unit 20,0,1,1,55
Spill The Tea,Adams,1040 W 104th Ave,3,2,5,51
Sport Station Bar and Grill,Arapahoe,850 Dayton St,6,6,12,44
Sports Book Bar and Grill,Arapahoe,9660 E Arapahoe Rd,4,6,10,46
Sports Lounge Off Broadway The,Douglas,44 W Centennial Blvd,5,1,6,50
Sportsbook Bar and Grill - Simply Salads,Arapahoe,9660 E Arapahoe Rd,3,2,5,51
Sportswatch Bar and Grill,Adams,6801 Lowell Blvd,3,4,7,49
Springhill Suites,Arapahoe,7900 E Peakview Ave,1,0,1,55
Springhill Suites Denver Parker,Douglas,9355 Silverado Dr,0,0,0,56
Sprouts Famers Market 317,Arapahoe,8557 E Arapahoe Rd,2,1,3,53
Sprouts Farmers Market,Adams,5150 W 120th Ave,2,4,6,50
Sprouts Farmers Market,Arapahoe,1150 S Ironton St Unit 130,3,3,6,50
Sprouts Farmers Market,Arapahoe,20831 E Smoky Hill Rd,0,2,2,54
Sprouts Farmers Market,Arapahoe,5001 S Broadway,2,2,4,52
Sprouts Farmers Market,Douglas,10018 Commons St,3,5,8,48
Sprouts Farmers Market,Douglas,9751 S Parker Rd,2,0,2,54
Sprouts Farmers Market 318,Douglas,1980 E County Line Rd,3,2,5,51
Sprouts Farmers Market 321,Adams,1131 E 120th Ave,3,6,9,47
Sprouts Farmers Markets,Douglas,5650 Allen Way Ste 106,1,5,6,50
Sprucewood Inn,Douglas,491 S Highway 67,4,1,5,51
Spur of The Moment,Douglas,8885 Spruce Mountain Rd,3,5,8,48
Squirrel Creek Lodge,Douglas,8109 Blakeland Dr,2,0,2,54
St Anthony North Health Campus,Adams,14300 Orchard Pkwy,1,4,5,51
St Anthonys Hospital North,Adams,2551 W 84th Ave,3,1,4,52
St Augustine Catholic Church and Community Food,Adams,178 S 6th Ave,0,2,2,54
St Joseph Ministry Center,Arapahoe,18000 E Arapahoe Rd,0,0,0,56
St Pius Tenth Parish,Arapahoe,13670 E 13th Pl,1,1,2,54
St Therese School,Arapahoe,1200 Kenton St,4,2,6,50
Stagecoach The,Douglas,2077 S Highway 83,1,11,12,44
Stampede,Arapahoe,2430 S Havana St,3,8,11,45
Stanley Beer Hall,Arapahoe,2501 S Dallas St Ste 100,7,6,13,43
Star of India,Arapahoe,3102 S Parker Rd Unit A10,4,3,7,49
Starbucks,Arapahoe,1510 W Littleton Blvd,2,0,2,54
Starbucks,Douglas,6375 Promenade Pkwy Ste 100,0,0,0,56
Starbucks,Douglas,910 Kinner St,0,0,0,56
Starbucks 13233,Adams,14456 Delaware St,3,4,7,49
Starbucks 13339,Douglas,9700 S Parker Rd Ste 100,1,5,6,50
Starbucks 254,Arapahoe,8243 S Quebec St,1,0,1,55
Starbucks 59397,Douglas,12227 Pine Bluffs Way Unit 101,0,1,1,55
Starbucks Coffee,Adams,10339 Tower Rd,0,1,1,55
Starbucks Coffee,Adams,10701 Washington St,1,2,3,53
Starbucks Coffee,Adams,5043 E Bridge St,0,1,1,55
Starbucks Coffee,Adams,550 W 104th,0,1,1,55
Starbucks Coffee,Adams,7358 Federal Blvd,0,2,2,54
Starbucks Coffee,Arapahoe,11703 E Arapahoe Rd,1,3,4,52
Starbucks Coffee,Arapahoe,12700 E Colfax Ave,1,2,3,53
Starbucks Coffee,Arapahoe,13702 E Quincy Ave,0,3,3,53
Starbucks Coffee,Arapahoe,13881 E Mississippi Ave,0,2,2,54
Starbucks Coffee,Arapahoe,410 S Colorado Blvd,1,1,2,54
Starbucks Coffee,Douglas,9854 Zenith Meridian Dr Ste C,0,0,0,56
Starbucks Coffee 10114,Arapahoe,3128 S Parker Rd,1,2,3,53
Starbucks Coffee 10438,Arapahoe,3455 Salida St Unit A,2,3,5,51
Starbucks Coffee 10632,Arapahoe,7500 S Gartrell Rd,0,1,1,55
Starbucks Coffee 10856,Arapahoe,1240 S Buckley Rd,0,1,1,55
Starbucks Coffee 11246,Arapahoe,10761 E Alameda Ave Unit A,1,0,1,55
Starbucks Coffee 11476,Arapahoe,4298 S Broadway,2,4,6,50
Starbucks Coffee 11479,Adams,13671 Colorado Blvd,1,1,2,54
Starbucks Coffee 11995,Douglas,9135 Commerce Center Cir,1,3,4,52
Starbucks Coffee 13490,Arapahoe,2600 W Belleview Ave Ste 100,1,1,2,54
Starbucks Coffee 17748,Arapahoe,9301 E Arapahoe Rd,0,1,1,55
Starbucks Coffee 19695,Arapahoe,3500 River Point Pkwy Unit A,1,1,2,54
Starbucks Coffee 2204,Arapahoe,7521 S University Blvd,0,1,1,55
Starbucks Coffee 239,Arapahoe,5910 S University Blvd Unit D3,1,0,1,55
Starbucks Coffee 249,Arapahoe,8547 E Arapahoe Rd Unit 1,1,0,1,55
Starbucks Coffee 252,Arapahoe,4920 S Yosemite St Unit,0,0,0,56
Starbucks Coffee 277,Arapahoe,960 S Colorado Blvd,0,0,0,56
Starbucks Coffee 5283,Arapahoe,19751 E Smoky Hill Rd Unit A,1,1,2,54
Starbucks Coffee 5299,Douglas,8505 Park Meadows Center Dr Ste 2084,3,3,6,50
Starbucks Coffee 5315,Douglas,8374 Willow St,3,1,4,52
Starbucks Coffee 5325,Douglas,870 Cpl Max Donahue Ln,0,0,0,56
Starbucks Coffee 5358,Adams,5180 W 120th Ave,0,1,1,55
Starbucks Coffee 54555,Adams,11995 N Holly St,0,1,1,55
Starbucks Coffee 5573,Arapahoe,15795 E Arapahoe Rd Ste 300,1,0,1,55
Starbucks Coffee 5647,Adams,1171 W 120th Ave Ste B,0,1,1,55
Starbucks Coffee 56826,Adams,12311 E 104th Ave,2,2,4,52
Starbucks Coffee 5722,Arapahoe,8000 E Belleview Ave Unit B10,0,0,0,56
Starbucks Coffee 5806,Adams,10339 N Federal Blvd,2,4,6,50
Starbucks Coffee 6569,Arapahoe,7301 S Santa Fe Dr Unit 310,0,0,0,56
Starbucks Coffee 6776,Arapahoe,8745 E Orchard Rd Ste 51,1,0,1,55
Starbucks Coffee 6821,Arapahoe,14261 E Cedar Ave Unit D,0,1,1,55
Starbucks Coffee 6833,Arapahoe,17200 E Iliff Ave Unit A1,0,0,0,56
Starbucks Coffee 6945,Adams,3894 E 120th Ave Unit B,1,1,2,54
Starbucks Coffee 8982,Douglas,506 E Castle Pines Pkwy,0,4,4,52
Starbucks Coffee 9554,Adams,45 E 120th Ave,1,4,5,51
Starbucks Coffee 9946,Adams,16769 Washington St,2,3,5,51
Starbucks Coffee Company,Douglas,9328 Jordan Rd Unit 101,1,2,3,53
Stargate Academy Secondary School,Adams,14530 Washington St,1,0,1,55
Starz Cafe,Douglas,8900 Liberty Cir,1,1,2,54
State House,Adams,15591 E 104th Ave,2,3,5,51
Staybridge Suites,Arapahoe,7150 S Clinton St,4,5,9,47
Staybridge Suites,Douglas,7820 Park Meadows Dr,2,1,3,53
Staybridge Suites Denver Cherry Creek,Arapahoe,4220 E Virginia Ave,2,5,7,49
Steak Escape Taco Johns,Adams,5810 Logan St,4,6,10,46
Steak N Shake 717,Arapahoe,3502 River Point Pkwy,2,7,9,47
Steakhouse 10,Arapahoe,3517 S Elati St,8,7,15,41
Steel Tips,Arapahoe,15162 E Hampden Ave Unit C,3,2,5,51
Stellar Elementary,Adams,3901 E 124th Ave,1,0,1,55
Stem Magnet School,Adams,11700 Irma Dr,0,0,0,56
Stem School and Academy,Douglas,8773 Ridgeline Blvd,0,0,0,56
Stephanies Coffee Shop,Adams,7691 Brighton Blvd,6,5,11,45
Stevos Pizza,Arapahoe,800 S Havana St,5,4,9,47
Stinker 329,Adams,3905 E 120th Ave,3,5,8,48
Stinker 331,Arapahoe,7500 S Broadway,1,1,2,54
Stinker 333,Arapahoe,13700 E Quincy Ave,2,0,2,54
Stinker 334,Arapahoe,15291 E Colfax Ave,4,1,5,51
Stinker 340,Arapahoe,800 W Hampden Ave,4,3,7,49
Stir Fry 88,Adams,13801 Grant St,7,7,14,42
Stone Canyon Edventures - DC Life Camp,Douglas,12163 S Perry Park Rd,4,5,9,47
Stone Creek Cafe 1,Arapahoe,5075 S Federal Blvd,6,2,8,48
Stone Mountain Elementary,Douglas,10625 Weathersfield Way,0,0,0,56
Stonebrook Manor,Adams,650 E 124th Ave,2,0,2,54
Stonegate Cafe,Douglas,16524 Keystone Blvd Unit F,1,4,5,51
Stout Street Foundation,Adams,7251 E 49th Ave,1,2,3,53
Strasburg Elementary School,Adams,56729 Colorado Ave,1,5,6,50
Strawberries Catering Taste of a lifetime,Arapahoe,3535 S Platte River Dr Unit A3,4,5,9,47
Stuart Middle School,Adams,15955 E 101st Way,0,0,0,56
Studio Cafe The,Adams,5445 Bannock St,2,0,2,54
Studio School The,Adams,10604 Grant Dr,0,0,0,56
Studio at Mainstreet,Douglas,19604 E Mainstreet,0,0,0,56
Stukey Elementary,Adams,11080 Grant Dr,1,1,2,54
Stumpys Pizza Bar and Grill,Douglas,138 S Wilcox St,6,11,17,39
Styria Bakery II,Adams,5650 Washington St,2,4,6,50
Submission Nutrition,Adams,12189 Pennsylvania St,0,0,0,56
Subway,Adams,10401 Belle Creek Pkwy Unit F,4,2,6,50
Subway,Adams,12501 E 17th Ave Unit D,6,2,8,48
Subway,Adams,5790 Clarkson St,5,2,7,49
Subway,Arapahoe,12073 E Arapahoe Rd Unit 120,1,0,1,55
Subway,Arapahoe,13692 E Iliff Ave Unit D,4,5,9,47
Subway,Arapahoe,19330 E Quincy Ave Unit A,3,2,5,51
Subway,Arapahoe,2648 S Parker Rd,2,1,3,53
Subway,Arapahoe,7410 S University Blvd,3,1,4,52
Subway,Douglas,11101 S Parker Rd,1,4,5,51
Subway,Douglas,13097 S Parker Rd Unit B,3,3,6,50
Subway,Douglas,848 N Ridge Rd Unit A,4,4,8,48
Subway - Arapahoe 7233,Arapahoe,8575 E Arapahoe Rd Unit L,3,3,6,50
Subway - Belleview 10349,Arapahoe,4940 S Yosemite St Unit E3,3,1,4,52
Subway - Broadway H R 19123,Douglas,9245 S Broadway Unit 200,0,1,1,55
Subway - Castle Pines 23742,Douglas,558 Castle Pines Pkwy Unit B5,3,6,9,47
Subway - Castle Rock 36685,Douglas,4400 Front St,2,5,7,49
Subway - Town center 23045,Douglas,3506 Town Ctr,2,2,4,52
Subway - Wildcat 23292,Douglas,2229 W Wildcat Reserve Pkwy,5,2,7,49
Subway 03271 - Federal,Adams,7312 Federal Blvd,1,1,2,54
Subway 11103,Douglas,9227 E Lincoln Ave Ste 600,1,0,1,55
Subway 12979,Arapahoe,15340 E Alameda Pkwy,2,2,4,52
Subway 14131,Adams,5076 W 92nd Ave Unit D3,5,1,6,50
Subway 14270,Adams,7260 Broadway,1,3,4,52
Subway 24225,Adams,10376 Colorado Blvd,2,5,7,49
Subway 2701,Arapahoe,123 W Hampden Ave Unit E,4,2,6,50
Subway 3566,Arapahoe,7941 S Broadway,4,1,5,51
Subway 3705,Adams,10390 Washington St,8,2,10,46
Subway 37800,Adams,3301 N Tower Rd,2,3,5,51
Subway 38847,Adams,13644 Orchard Pkwy Unit 100,3,2,5,51
Subway 44052,Adams,56171 E Colfax Ave Unit 10,1,4,5,51
Subway 44404,Arapahoe,3602 River Point Pkwy Unit A,2,1,3,53
Subway 45773,Arapahoe,8450 E Iliff Ave Unit 1,2,2,4,52
Subway 56024,Adams,9213 Huron St,1,1,2,54
Subway 63602,Arapahoe,25791 E Smoky Hill Rd,3,0,3,53
Subway 64713,Arapahoe,4760 W Mineral Ave Ste 20,3,1,4,52
Subway Sandwiches,Adams,10343 Federal Blvd Unit A,2,5,7,49
Subway Sandwiches,Adams,8501 Grant St,3,3,6,50
Subway Sandwiches,Adams,858 E 120th Ave,3,3,6,50
Subway Sandwiches,Arapahoe,19761 E Smoky Hill Rd Unit B,4,2,6,50
Subway Sandwiches,Douglas,3996 Red Cedar Dr Unit A2,2,6,8,48
Subway Sandwiches & Salads,Arapahoe,10900 E Briarwood Ave,4,4,8,48
Subway Sandwiches & Salads,Arapahoe,4343 S Buckley Rd Ste 150,3,2,5,51
Subway Sandwiches 22093,Adams,450 E Bromley Ln Unit 120,2,1,3,53
Subway Sandwiches 36210,Adams,60 W Bromley Ln,4,1,5,51
Subway Sandwiches 37717,Douglas,6654 Timberline Rd Unit A,3,4,7,49
Subway Sandwiches 39977,Adams,7101 E 128th Ave,4,5,9,47
Subway Sandwiches 40865,Adams,18220 E 104th Ave Unit 103,2,2,4,52
Subway Sandwiches 41483,Adams,2315 Prairie Center Pkwy Unit E7,2,3,5,51
Subway Sandwiches 41703,Douglas,12155 Lioness Way # 101,6,2,8,48
Subway Sandwiches 4568,Adams,1509 W 84th Ave,3,2,5,51
Subway Sandwiches 46433,Arapahoe,320 S Colorado Blvd,2,0,2,54
Subway Sandwiches 52032,Arapahoe,2203 S Peoria St,2,2,4,52
Subway Sandwiches 695,Arapahoe,2897 W Belleview Ave Unit B,3,2,5,51
Subway Sandwiches and Salads,Adams,1005 W 120th Ave Ste 400,2,4,6,50
Subway Sandwiches and Salads,Adams,12910 Zuni St,4,3,7,49
Subway Sandwiches and Salads,Adams,965 S 1st St Unit C,1,2,3,53
Subway Sandwiches and Salads,Arapahoe,1250 S Buckley Rd Unit E,3,2,5,51
Subway Sandwiches and Salads,Arapahoe,14004 E Mississippi Ave,3,1,4,52
Subway Sandwiches and Salads,Arapahoe,1412 S Parker Rd Unit A126,7,1,8,48
Subway Sandwiches and Salads,Arapahoe,1470 Chambers Rd,0,0,0,56
Subway Sandwiches and Salads,Arapahoe,16950 E Iliff Ave Unit A,4,3,7,49
Subway Sandwiches and Salads,Arapahoe,40 W Littleton Blvd Unit 211,1,2,3,53
Subway Sandwiches and Salads,Arapahoe,4696 S Broadway,3,1,4,52
Subway Sandwiches and Salads,Douglas,17001 Lincoln Ave Unit B,2,6,8,48
Subway Sandwiches and Salads,Douglas,8820 American Way,1,0,1,55
Subway Sandwiches and Salads 14459,Adams,6075 E Parkway Dr Ste 103,1,3,4,52
Subway Sandwiches and Salads 2929,Arapahoe,1155 S Havana St Unit 67,3,2,5,51
Subway Sandwiches and Salads 5734,Adams,1543 E Bridge St,1,4,5,51
Subway Sandwiches and Salads Main 5428,Douglas,11017 S Parker Rd,3,5,8,48
Subway Sandwiches and Salads Quebec,Arapahoe,8223 S Quebec St Unit E,2,2,4,52
Subway Wilcox 7840,Douglas,110 S Wilcox St,5,4,9,47
Sudanese and Ethiopian Cafe and Bakery LLC,Arapahoe,10375 E Iliff Ave,4,3,7,49
Sugami Hibachi Express,Arapahoe,15434 E Mississippi Ave,3,2,5,51
Sugar Sisters Bakery,Douglas,34 E Allen St,2,2,4,52
Sugarfire Smokehouse,Adams,14375 Orchard Pkwy,7,5,12,44
Sukiya Ramen,Arapahoe,7939 E Arapahoe Rd Unit 110,2,1,3,53
Summit Elementary,Arapahoe,18201 E Quincy Ave,1,0,1,55
Summit Entertainment of Thornton,Adams,580 E 144th Ave,5,4,9,47
Summit View Elementary,Douglas,10200 S Piedmont Dr,0,2,2,54
Sun Cafe,Arapahoe,10 Inverness Dr E Unit 10,5,8,13,43
Sun Rise Restaurant,Adams,9115 E Colfax Ave,7,5,12,44
Sunburst Grill,Arapahoe,2295 S Chambers Rd Unit M,7,5,12,44
Sunflower Asian Cafe and Yang Zhou Kitchen,Arapahoe,91 W Mineral Ave Unit 100,11,9,20,36
Sunlite Donuts,Arapahoe,2186 W Evans Ave,1,4,5,51
Sunrise Asian Cuisine and Sushi Bar,Arapahoe,7450 S Gartrell Rd Unit A2-A4,5,5,10,46
Sunrise Elementary,Arapahoe,4050 S Genoa Way,0,1,1,55
Sunrise Sushi Cuisine,Adams,245 Pavilions Pl Unit F,5,7,12,44
Sunset Grille,Arapahoe,8269 S Holly St,2,2,4,52
Sunset Ridge Elementary/ SAT,Adams,9451 Hooker St,1,0,1,55
Sunshine Gas Station,Arapahoe,3298 S Broadway,2,0,2,54
Super 8 Westminster,Adams,12055 Melody Dr,1,0,1,55
Super Qwik Stop,Adams,1580 W 84th Ave,2,7,9,47
Super Target 1372,Adams,1001 E 120th Ave,2,3,5,51
Super Target T 2023,Douglas,10001 Commons St,3,3,6,50
Sure Stay Plus Hotel by Best Western,Adams,12101 Grant St,0,1,1,55
Surena Restaurant,Arapahoe,9625 E Arapahoe Rd,6,4,10,46
Sushi Basho,Arapahoe,2700 W Bowles Ave Unit A,8,8,16,40
Sushi Bay,Arapahoe,9623 E County Line Rd Unit C,7,0,7,49
Sushi Castle,Douglas,729 Barranca Dr Unit 105,8,13,21,35
Sushi Kai,Arapahoe,682 S Colorado Blvd,6,3,9,47
Sushi Katsu,Arapahoe,2222 S Havana St Unit H,3,8,11,45
Sushi Katsu 2,Arapahoe,9555 E Arapahoe Rd Unit 5,2,7,9,47
Sushi Kazu Japanese Restaurant,Arapahoe,12201 E Arapahoe Rd Unit B14,6,7,13,43
Sushi Man,Arapahoe,6920 S Jordan Rd Ste A,0,0,0,56
Sushi Mango,Douglas,9579 S University Blvd # 150,8,10,18,38
Sushi North,Adams,12010 Melody Dr,5,6,11,45
Sushi Rama,Arapahoe,13650 E Colfax Ave Unit E,2,3,5,51
Sushi Rama,Douglas,10012 Commons St Ste 106 E,2,3,5,51
Sushi Star,Adams,4880 W 120th Ave Ste 200,5,4,9,47
Sushi Tokoro,Adams,3925 E 120th Ave Unit A,6,4,10,46
Sushi Umi,Adams,10048 Grant St,5,4,9,47
Sushi Yume,Adams,10350 Federal Blvd Unit 400,7,9,16,40
Swedish Medical Center,Arapahoe,501 E Hampden Ave,0,2,2,54
Sweet Cow,Arapahoe,2501 Dallas St,3,0,3,53
Sweet Logic,Adams,12189 Pennsylvania St,1,0,1,55
Sweet Tomatoes,Douglas,9445 Park Meadows Dr,4,4,8,48
Sweet Tomatoes 69,Adams,8971 Yates St,0,3,3,53
Sweet Tomatoes Restaurant,Arapahoe,14015 E Evans Ave,3,3,6,50
Sweets of Inspiration,Adams,7305 Lowell Blvd Ste 180,2,3,5,51
Swingers Sports Lounge and Grill,Douglas,9535 Park Meadows Dr,6,12,18,38
Swirls Frozen Yogurt - COO,Douglas,19751 E Mainstreet Unit R4,1,1,2,54
T Square C Store,Arapahoe,897 S Havana St,1,2,3,53
TCBY Mrs Fields,Adams,2831 W 120th Ave Unit 100,1,4,5,51
TGI Fridays,Adams,1251 E 120th Ave,3,9,12,44
TNT Sports Lounge,Adams,5127 W 64th Ave,5,8,13,43
TREA Chapter 39,Arapahoe,15821 E Centretech Cir,2,1,3,53
TSE Jennys Market Phillips 66 530,Arapahoe,3500 S Federal Blvd,4,2,6,50
Taco Bell,Adams,10402 Belle Creek Blvd,1,2,3,53
Taco Bell,Arapahoe,21865 E Quincy Ave,2,1,3,53
Taco Bell,Arapahoe,25531 E Smoky Hill Rd,1,2,3,53
Taco Bell,Arapahoe,5050 S Quebec St,1,3,4,52
Taco Bell 20924,Adams,6390 Sheridan Blvd,0,3,3,53
Taco Bell 23306,Adams,13732 Colorado Blvd,2,1,3,53
Taco Bell 23963,Arapahoe,14551 E Colfax Ave,1,3,4,52
Taco Bell 2643,Douglas,10832 Crossroads Dr,2,1,3,53
Taco Bell 3186,Arapahoe,8220 S Quebec St,1,4,5,51
Taco Bell 33836,Adams,7221 Pecos St,2,3,5,51
Taco Bell 33838,Adams,555 W 104th Ave,2,3,5,51
Taco Bell 33842,Adams,920 E Bridge St,1,4,5,51
Taco Bell 33846,Adams,3901 E 120th Ave,0,1,1,55
Taco Bell 33850,Arapahoe,8695 E Arapahoe Rd,1,1,2,54
Taco Bell 33853,Arapahoe,1607 S Havana St,1,5,6,50
Taco Bell 33856,Adams,4901 E 60th Ave,0,1,1,55
Taco Bell 33857,Arapahoe,540 W Hampden Ave,3,0,3,53
Taco Bell 33865,Adams,1298 E 104th Ave,2,5,7,49
Taco Bell 33870,Adams,8401 Washington St,1,1,2,54
Taco Bell 33873,Arapahoe,2717 W Belleview Ave,3,5,8,48
Taco Bell 33874,Adams,2121 Prairie Center Pkwy,2,3,5,51
Taco Bell 36110,Douglas,217 Metzler Dr,1,2,3,53
Taco Bell 36111,Douglas,95 Rio Grande Dr,1,2,3,53
Taco Bell 36112,Douglas,7530 Village Square Dr,0,1,1,55
Taco Bell 36117,Arapahoe,14200 E Alameda Ave Unit 2070B,1,1,2,54
Taco Bell 4078,Arapahoe,7911 S Broadway,1,3,4,52
Taco Bell Express 20537,Arapahoe,6350 S Parker Rd,0,1,1,55
Taco Bell KFC 21392,Douglas,16950 Lincoln Ave,3,6,9,47
Taco Bell Long John Silvers,Douglas,3984 Red Cedar Dr,2,6,8,48
Taco House 5 LLP,Arapahoe,1390 W Littleton Blvd,1,0,1,55
Taco Jalpa,Adams,11417 E Colfax Ave,9,8,17,39
Taco Jalpa II,Adams,7710 Brighton Rd,4,2,6,50
Taco Johns,Adams,280 W 136th Ave,5,5,10,46
Taco Johns 9945,Adams,9675 Washington St,2,5,7,49
Taco Mex,Adams,1806 W 92nd Ave,6,8,14,42
Taco Mex IV,Adams,10909 E Colfax Ave,10,5,15,41
Taco Mex V,Adams,6101 E 64th Ave,4,0,4,52
Taco Mex VI,Arapahoe,2210 S Chambers Rd,5,3,8,48
Taco Orientales Chihuahua,Adams,105 E Bridge St Unit C,3,9,12,44
Taco Palace Mexican Fast Food,Adams,2020 E Bridge St,5,6,11,45
Taco River,Adams,7195 Federal Blvd,8,9,17,39
Taco River,Adams,75 S Main St,7,6,13,43
Taco River III,Adams,6025 E Parkway Dr Ste 107,2,2,4,52
Taco River IV,Adams,1685 Peoria St,7,8,15,41
Taco Star,Adams,1050 W 104th Ave,5,2,7,49
Taco Star,Adams,503 E 84th Ave,3,4,7,49
Taco Star,Arapahoe,1760 S Havana St,4,3,7,49
Taco y Salsa,Arapahoe,2284 S Chambers Rd,9,10,19,37
Tacos Chihuas,Adams,248 N Main St,4,6,10,46
Tacos D F,Arapahoe,2020 S Parker Rd Unit N,9,10,19,37
Tacos El Metate,Arapahoe,1742 S Chambers Rd,6,6,12,44
Tacos Junior Inc,Adams,11505 E Colfax Ave Unit D,9,8,17,39
Tacos Junior Inc,Adams,9277 Federal Blvd,3,3,6,50
Tacos La Morenita,Arapahoe,15493 E Hampden Ave Unit D,0,0,0,56
Tacos Los Vaqueros,Adams,1880 W 92nd Ave,6,3,9,47
Tacos Menny,Adams,283 E 88th Ave,5,13,18,38
Tacos Rapidos,Adams,612 E Bridge St,4,10,14,42
Tacos Sabor Chilango,Adams,6451 E 72nd Pl,5,6,11,45
Tacos Tijuana,Arapahoe,1430 Chambers Rd,9,11,20,36
Tacos Uruapan,Arapahoe,1465 N Dayton St,5,1,6,50
Tacos Y Salsa,Adams,7124 Federal Blvd Unit 700,9,14,23,33
Tacos y Salsa,Arapahoe,9103 E Colfax Ave,9,11,20,36
Tacos y Tortas Selene,Arapahoe,15343 E 6th Ave Unit A,4,4,8,48
Taft House,Douglas,3570 Celestial Ave,0,0,0,56
Tailgate Tavern,Douglas,19552 E Mainstreet,4,7,11,45
Takeria Takero-Mucho 2,Arapahoe,12028 E Mississippi Unit C,5,5,10,46
Takoda Tavern Kitchen and Bar,Douglas,12365 Pine Bluffs Way,4,3,7,49
Tamale Kitchen,Adams,1030 W 104th Ave,2,9,11,45
Tamale Kitchen 2,Adams,5650 Washington St,4,5,9,47
Tamale Kitchen 8,Douglas,6642 Timberline Rd Unit 105,1,5,6,50
Tamales Moreno,Adams,5159 W 64th Ave,2,4,6,50
Tamales by Sara,Adams,6440 E 72nd Pl,3,4,7,49
Tamarind Indian Cuisine,Douglas,514 Perry St,9,6,15,41
Tandoori Flames,Douglas,556 Village Square Ln Ste 200,3,4,7,49
Taqueria Corona II,Arapahoe,2222 S Havana St Unit I,2,3,5,51
Taqueria El Ayudante,Adams,8623 Washington St,3,2,5,51
Taqueria El Trompito,Adams,1540 W 70th Ave,3,8,11,45
Taqueria El Tucan,Adams,1550 W 88th Ave Unit F,8,3,11,45
