program_id,county,site_address,total_violations
Berry Blendz,Adams,1281 E 120th Ave,2
Berry Blendz,Douglas,10941 S Parker Rd,2
Berry Blendz,Douglas,8401 Park Meadows Center Dr,9
Best One Convenience Store,Adams,6898 Kearney St,1
Best Philly Steak,Adams,6350 Sheridan Blvd Ste 115B,7
Best Western Brighton Inn,Adams,15151 Brighton Rd,6
Bibi Poke at Centennial,Arapahoe,12023 E Arapahoe Rd Ste 140,5
Bibimbap and Naked Grill 153,Arapahoe,10639 E Briarwood Ave Unit B2,18
Big Apple Mart 2,Douglas,2195 N Highway 83,10
Big Bills New York Pizza,Arapahoe,8243 S Holly St,2
Big Daddy Mexican Restaurant,Adams,7584 Highway 2,2
Big Daddys Pizza,Arapahoe,1155 S Havana Ave Ste 69,2
Big Daddys Pizza,Arapahoe,5829 S Broadway,4
Big Lots,Adams,893 S Kuner Rd,1
Big Lots 1914,Arapahoe,7475 Iliff,1
Big Lots 1920,Arapahoe,139 W Hampden Ave,0
Big Lots 4133,Arapahoe,15351 E Hampden Ave,1
Big Lots 4486,Adams,4830 W 120th Ave,0
Big Mac and Little Lus Seafood,Adams,2851 W 120th Ave Unit 300A,9
Big Mamas Burritos,Adams,3190 W 72nd Ave,7
Big Mamas Burritos 3,Adams,7790 Federal Blvd,6
Big Panda,Adams,15550 E 103rd Pl Ste 101,12
Big Picture College and Career Academy,Adams,7350 N Broadway Ste 200,1
Billies,Adams,1830 E Bridge St,16
Bingo Oasis,Adams,10657 Melody Dr,7
Birds Nest Express,Arapahoe,10605 E Mississippi Ave,11
Birrieria Y Taqueria Los Tecos LLC,Adams,7353 Pecos St,4
Bishop Elementary School,Arapahoe,3100 S Elati St,0
Bison Grill,Adams,15700 E 112th Ave,11
Bistro,Douglas,3775 Grace Blvd Bldg B,2
Bistro King Thai and Sushi,Arapahoe,3542 S Fox St,12
Bitto Bistro,Adams,14697 Delaware St Unit 1000,11
Black Bear Golf Club,Douglas,11400 Canterberry Pkwy,8
Black Cow Deli,Arapahoe,7670 S Chester St,18
Black Cow Deli II,Arapahoe,600 S Cherry St Unit 25,10
Black Eyed Pea,Adams,211 W 104th Ave,7
Black Eyed Pea,Arapahoe,5180 S Broadway,10
Black Eyed Pea,Douglas,850 New Memphis Ct,11
Black Forest Hills Elementary,Arapahoe,25233 E Glasgow Dr,1
Black Rock Coffee Bar,Douglas,4985 Factory Shops Blvd Ste 100,0
Black Sea Grocery,Arapahoe,7920 E Mississippi Ave Ste M,5
Black eyed Pea,Douglas,9205 Crown Crest Blvd,0
Blackjack Pizza,Adams,8410 Federal Blvd,10
Blackjack Pizza,Arapahoe,13696 E Alameda Ave,2
Blackjack Pizza,Arapahoe,16961 E Quincy Ave Unit C6,8
Blackjack Pizza,Arapahoe,7500 S University Blvd Unit 107,9
Blackjack Pizza,Arapahoe,9625 E Arapahoe Rd,6
Blackjack Pizza,Douglas,9821 S Parker Rd,5
Blackjack Pizza 2026,Adams,14296 Lincoln St,4
Blackjack Pizza of Brighton,Adams,1521 E Bridge St # 2,9
Blackstone Country Club,Arapahoe,7777 S Country Club Pkwy,18
Bleu Sage Catering,Adams,1500 E 128th Ave,14
Blimpies,Arapahoe,14101 E Exposition Ave,4
Blu Note Bar and Grill,Douglas,19600 Solar Cir,5
Blue Bay Asian Cafe,Adams,12840 Holly St Unit 180,15
Blue Mountain Kitchen,Adams,16607 N Washington St,4
Blue Note Catering (Fiddlers Green),Arapahoe,6350 Greenwood Plaza Blvd,3
Bluebird Cafe,Adams,885 Thornton Pkwy,13
Boardroom,Arapahoe,51 W Dry Creek Ct,4
Boardwalk Pizzeria Inc,Adams,1420 W 104th Ave,10
Bombay Bazaar,Arapahoe,3140 S Parker Rd Ste 4,4
Bonbons,Adams,1675 W 67th Ave Unit 300,1
Bonefish Grill,Arapahoe,4948 S Yosemite St Unit,5
Bonos BBQ,Arapahoe,9393 E Dry Creek Rd,9
Bookmakers Burgers Bourbon and Brews,Arapahoe,25791 E Smoky Hill Rd Ste 50,6
Boondocks Food and Fun,Douglas,18706 Cottonwood Dr,7
Boondocks Fun Center,Adams,11425 Community Center Dr,10
Born2bake,Arapahoe,2540 W Main St,20
Bosphorus,Arapahoe,3493 S Downing St,12
Boston Elementary,Arapahoe,1365 Boston St,4
Boston Market 1755,Arapahoe,14110 E Iliff Ave,9
Boston Market 207,Arapahoe,8507 E Arapahoe Rd,4
Botanas Locas,Arapahoe,2271 S Peoria St,4
Bout Time Pub and Grub,Arapahoe,3580 S Platte River Dr Ste A,7
Bow Mart,Arapahoe,5198 S Lowell Blvd,2
Bowlero Heather Ridge,Arapahoe,2200 S Peoria St,9
Bowlero Littleton,Douglas,2530 E County Line Rd,6
Bowlero Lone Tree,Douglas,9255 Kimmer Dr,13
Bowmar Gas Express,Arapahoe,5200 S Lowell Blvd,13
Boyds Tasty Expressions,Adams,12189 Pennsylvania St,0
Brads Pit BBQ,Arapahoe,5950 S Platte Canyon Rd Unit D18,0
Brantner Elementary,Adams,7800 E 133rd Ave,1
Bravos Italian Restaurant,Adams,10691 Melody Dr Unit C & E,9
Bread in the Box,Douglas,1605 Park St Ste A,3
Break Time Conoco,Arapahoe,15015 E Hinsdale Dr,1
Breakfast Queen,Arapahoe,3460 S Broadway,8
Breakfast on Broadway Cafe,Arapahoe,2901 S Broadway,3
Breckenridge Brewery (The Farmhouse),Arapahoe,2990 Brewery Ln,7
Brewery Bar III,Douglas,9228 Park Meadows Dr,7
Brewskis Pub and Grill,Adams,2100 E 104th Ave,11
Briccys Coffee,Douglas,140 S Wilcox St Unit C,4
Brick House Tavern & Tap,Douglas,19320 Cottonwood Dr,11
Brighton High School,Adams,360 S 8th Ave,9
Brighton Learning and Resource Center,Adams,1850 E Egbert St,3
Brighton Meal Site VOA,Adams,1150 Prairie Center Pkwy,2
Brighton Sport Park Concession,Adams,1111 Judicial Center Dr,8
Brio Tuscan Grille,Douglas,8441 Park Meadows Center Dr,11
Britstop Cafe,Douglas,221 Perrt St,1
Broadway Sinclair,Adams,6185 N Broadway Ave,2
Broadways Shot Spot,Arapahoe,4011 S Broadway Unit 103,1
Broken Tee Grill,Arapahoe,2101 W Oxford Ave,13
Bromley East Charter School,Adams,356 Longspur Dr,1
Bronco Bar,Adams,9496 E Montview Blvd,8
Brooks Smokehouse Catering BBQ & Cajun Cuisine,Arapahoe,800 Oakland St,4
Brothers BBQ,Arapahoe,9069 E Arapahoe Rd,0
Brothers BBQ,Douglas,5544 Promenade Pkwy,0
Brothers Bar & Grill,Douglas,7407 Park Meadows Dr,4
Brothers Kitchen,Adams,7155 Newport St,8
Bua,Arapahoe,950 S Abilene St,6
Bubba Chinos,Adams,201 S Main St,13
Bubba Chinos 20,Adams,5595 Federal Blvd,8
Bubbas 33,Arapahoe,2270 S Parker Rd,4
Buds Bar,Douglas,5453 Manhart St,6
Buffalo Ridge Elementary,Douglas,7075 N Shoreham Dr,2
Buffalo Trail Elementary,Arapahoe,24300 E Progress Dr,4
Buffalo Wild Wings 190,Adams,10090 Grant St,7
Buffalo Wild Wings 214,Adams,2025 Prairie Center Pkwy,6
Buffalo Wild Wings 264,Adams,16540 Washington St,9
Buffalo Wild Wings 300,Arapahoe,10500 E Garden Dr,5
Buffalo Wild Wings 381,Douglas,908 Sgt Jon Stiles Dr,5
Buffalo Wild Wings 648,Arapahoe,3900 River Point Pkwy,5
Buffalo Wild Wings 669,Arapahoe,6100 S Main St,4
Buffalo Wild Wings 95,Arapahoe,8255 S Chester St Unit 200,9
Buffet City Brighton,Adams,50 N Main St,16
Bull and Bush,Arapahoe,4700 Cherry Creek Dr,7
Bundt Shoppe,Douglas,7437 Village Square Dr Ste 125,4
Bundt Shoppe,Douglas,9315 Dorchester St G 109,2
Bundt Shoppe The,Arapahoe,5910 S University Blvd Unit C16,4
Burger King,Adams,520 E 58th Ave,4
Burger King,Adams,650 E 120th Ave,9
Burger King,Adams,7255 Pecos St,4
Burger King,Arapahoe,5697 S Himalaya St,5
Burger King,Arapahoe,620 S Buckley Rd,3
Burger King,Arapahoe,900 W Hampden Ave,5
Burger King,Douglas,3520 Town Center Dr,7
Burger King,Douglas,4408 Barranca Ln,7
Burger King,Douglas,6675 Business Center Dr,2
Burger King,Douglas,880 Kinner St,7
Burger King 10685,Douglas,18811 Ponderosa Dr,4
Burger King 13779,Arapahoe,6712 S Potomac St,3
Burger King 16607,Arapahoe,2397 W Belleview Ave Unit A,7
Burger King 1814,Arapahoe,15290 E Colfax Ave,12
Burger King 18222,Arapahoe,2650 S Havana St,2
Burger King 1996,Arapahoe,12119 E Mississippi Ave,2
Burger King 2409,Adams,1505 E Bridge St,5
Burger King 2424,Arapahoe,15340 E Hampden Ave,5
Burger King 2889,Arapahoe,16850 E Iliff Ave,3
Burger King 3609,Arapahoe,7480 S University Blvd,4
Burger King 4268,Adams,2998 W 104th Ave,5
Burger King 457,Adams,666 E 104th Ave,8
Burger King 5688,Arapahoe,14090 E Mississippi Ave,5
Burger King 8097,Arapahoe,16706 E Smoky Hill Rd,3
Burger King 9400,Adams,3800 Chambers Rd,7
Burger King 9674,Adams,301 W 84th Ave,0
Burger Theory,Arapahoe,6638 S Nome St,4
Burgerim,Douglas,12231 Pine Bluffs Way Unit 109,4
Burnt Ends BBQ,Arapahoe,5332 DTC Blvd,4
Burrito Rapido,Adams,6089 Quebec St Unit B,10
Burritos and Company,Adams,5907 Washington St,5
Burtons,Douglas,2975 Summer Wind Ln,4
Butcher Block Cafe,Adams,4605 E 74th Ave,5
Byers General Store,Arapahoe,568 N Highway 36,10
Byers School,Adams,444 E Front St,2
C B Potts Big Horn Brewing Company,Adams,1257 W 120th Ave,13
C and K Food and Gas,Adams,5251 Pecos St,3
CJs Catering,Adams,101 N Main St,4
Cabelas,Adams,14050 N Lincoln St,3
Cafe 180,Arapahoe,3315 S Broadway,6
Cafe Allegro,Arapahoe,7400 E Orchard Rd Ste 100,1
Cafe Ambrosia,Arapahoe,20981 E Smoky Hill Rd,15
Cafe Cascade,Arapahoe,6300 S Syracuse Way,5
Cafe China,Douglas,10920 S Parker Rd Unit B3,7
Cafe Mexico I,Adams,3815 W 72nd Way,8
Cafe Mexico II,Adams,810 E 120th Ave,6
Cafe One,Arapahoe,5251 DTC Pkwy Ste P3,5
